location_code,chain,customer_name,address,city,state,zip,mobi_customer_id,mobi_customer_name
014425,imperial,KRASDALE FOODS,65 WEST RED OAK LANE,WHITE PLAINS,NY,10604,,
025851,imperial,AHRC NASSAU CHAPTER,189 WHEATLY ROAD,BROOKVILLE,NY,11545,,
044354,imperial,ATLANTIC HEALTH SYSTEM *MASTR*,"100 MADISON AVENUE, ** NO FEDEX **",MORRISTOWN,NJ,07960,,
091900,imperial,CHRISTIAN HEALTH CENTER,301 SICOMAC AVENUE,WYCKOFF,NJ,7481.0,,
097201,imperial,"COFFEE LABS ROASTERS, INC.",ATTN: ALICIA,TARRYTOWN,NY,10591,,
1576002,imperial,GREEN CHIMNEY CHILDREN,"PUTNAM LAKE RD. BOX 719, ATTN: ACCOUNTS PAYABLE DEPT",BREWSTER,NY,10509-0719,,
209235,imperial,BROADWALL MANAGEMENT CORP,"7 PENN PLAZA, ELEVENTH FLOOR",NEW YORK,NY,10001,,
2755007,imperial,ROYAL REALTY CORP,"1155 AVENUE OF THE AMERICAS, ATTN:BLDG SVCS DEPT",NEW YORK,NY,10036,2435174.0,ROYAL REALTY
2NOM301,imperial,2 NOMAD LLC,240 W 40TH ST,NEW YORK,NY,10018,,
309654,imperial,WELLLIFE NETWORK INC.,"1985 MARCUS AVE, SUITE 100",NEW HYDE PARK,NY,11042,,
321545,imperial,PIER 59 STUDIOS,"59 CHELSEA PIERSBAT001, CHELSEA PIERS LEVEL 2",NEW YORK,NY,10011,,
357874,imperial,ROYAL REALTY CORP.,1 BRYANT PARK,NEW YORK,NY,10036,2435174.0,ROYAL REALTY
394565,imperial,ST JOHNS RIVERSIDE HOSPITAL,"967 NORTH BROADWAY, ACCOUNTS PAYABLE",YONKERS,NY,10701,,
480050,imperial,YMCA NEWARK AND VICINITY,"600 BROAD STREET, ACCOUNTS PAYABLE OFFICE",NEWARK,NJ,07102,,
481000,imperial,YMCA OF WESTFIELD,220 CLARKE STREET,WESTFIELD,NJ,07090,,
