location_code,old_mobi_customer_id,new_mobi_customer_id,customer_label,match_method,confidence
2755007,2435174,NO_MATCH,ROYAL REALTY CORP,no_individual_mobi_entry,none
357874,2435174,2435174,ROYAL REALTY CORP.,addr_match_1bryantpark,high
AMY001,1912456,1717243,AMY'S BREAD,amy_commissary_48th,high
AMYOO2,1912456,1717243,AMY'S BREAD,amy_commissary_48th,high
BAR080,5501106,NO_MATCH,BAREBURGER- FOREST HILLS,no_individual_mobi_entry,none
BAR103,5501106,NO_MATCH,BAREBURGER-RIDGEWOOD NJ,no_individual_mobi_entry,none
BAR430,5501106,NO_MATCH,BAREBURGER,no_individual_mobi_entry,none
BONNBRO,1711161,4289655,BONDI SUSHI,bondi_broadway,high
BONNY1,1711161,1711161,BONDI SUSHI,bondi_28th_parent_addr,high
BONNY4,1711161,1711161,BONDI SUSHI,bondi_28th_parent_addr,high
BONNY5,1711161,5551055,BONDI SUSHI,bondi_kenmare,high
BONNY7,1711161,3563727,BONDI SUSHI,bondi_ues_3rdave,high
E229167,5080427,NO_MATCH,SUNLIFE ORGANICS 17 LLC,no_individual_mobi_entry,none
E230624,5080427,NO_MATCH,"SUNLIFE ORGANICS 27, LLC",no_individual_mobi_entry,none
GRA058,1912469,1912469,GRAND SK CORP.,addr_match_whelan_rd,high
GRA060,1912469,1912469,GRAND SK CORP.,addr_match_whelan_rd,high
HER031,1711287,4192877,HERITAGE GRAND BAKERY,heritage_ninurta_40th,high
JOE1000,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE1030,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE1215,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE1451,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE1770,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE1950,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE2000,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE2315,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE2960,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE300,1711297,4464791,JOE & THE JUICE NEW YORK LLC,jtj_300park,high
JOE4300,1711297,4886303,JOE & THE JUICE NEW YORK LLC,jtj_msp_airport,high
JOE6501,1711297,NO_MATCH,JOE & THE JUICE NEW YORK LLC,no_individual_mobi_entry,none
JOE7263,1711297,4516521,JOE & THE JUICE NEW YORK LLC,jtj_bethesda,high
JTJ300,1711297,4464791,JOE & THE JUICE NEW YORK LLC,jtj_300park,high
JTJ549,1711297,4469389,JOE & THE JUICE NEW YORK LLC,jtj_549hudson,high
JUI001,1717435,1717435,COOLER CLEANSE,cooler_cleanse_parent,high
JUI002,1717435,1717435,COOLER CLEANSE,cooler_cleanse_parent,high
JUI007,1711304,NO_MATCH,JUICE GENERATION 7 (BROADWAY),no_individual_mobi_entry,none
JUI011,1711304,NO_MATCH,JUICE GENERATION 5 (3RD AVE),no_individual_mobi_entry,none
JUI018,1711304,1717651,JUICE GENERATION 6 (COLUMBUS),jg_columbus,high
JUI027,1711304,NO_MATCH,JUICE GENERATION 9 (23RD ST)JU,no_individual_mobi_entry,none
JUI033,1711304,NO_MATCH,JUICE GENERATION 8 (42ND ST),no_individual_mobi_entry,none
JUI034,1711304,NO_MATCH,JUICE GENERATION 10 (WLMSBURG),no_individual_mobi_entry,none
JUI037,1711304,NO_MATCH,JUICE GENERATION (E18 ST),no_individual_mobi_entry,none
JUI038,1711304,NO_MATCH,JUICE GENERATION (MAIDEN LN),no_individual_mobi_entry,none
JUI039,1711304,NO_MATCH,JUICE GENERATION (599 LEX),no_individual_mobi_entry,none
