mobi_customer_id,filled_form_id,customer_label,location_code,chain
2435174,167710033,ROYAL REALTY CORP,2755007,imperial
2435174,167710034,ROYAL REALTY CORP.,357874,imperial
5293461,167710035,ALFALFA JERSEY CITY,ALF160,imperial
1912456,167710036,AMY'S BREAD,AMY001,imperial
1717241,167710037,AMY RUTH'S,AMY004,imperial
1912456,167710038,AMY'S BREAD,AMYOO2,imperial
1711135,167710039,ARROW PAPER CO.,ARR001,imperial
5501106,167710040,BAREBURGER- FOREST HILLS,BAR080,imperial
5501106,167710041,BAREBURGER-RIDGEWOOD NJ,BAR103,imperial
5501106,167710042,BAREBURGER,BAR430,imperial
1711161,167710043,BONDI SUSHI,BONNBRO,imperial
1711161,167710044,BONDI SUSHI,BONNY1,imperial
1711161,167710045,BONDI SUSHI,BONNY4,imperial
1711161,167710046,BONDI SUSHI,BONNY5,imperial
1711161,167710047,BONDI SUSHI,BONNY7,imperial
4479853,167710049,BONDI SUSHI-156 N 4TH ST,BONNYBK,imperial
1912459,167710050,BROOKLYN ROASTING COMPANY,BRC098,imperial
1717328,167710051,BROOKLYN ROASTING WORKS LLC,BRO097,imperial
1717291,167710052,BKLYN LARDER LLC.,BRO110,imperial
3259803,167710053,CHA CHA MATCHA-DUMBO,CHA163,imperial
1717425,167710054,COCOA BAKERY,COC001,imperial
1717440,167710057,CRAVE FISH BAR,CRA003,imperial
1717444,167710058,CUB MARKET,CUB027,imperial
3827673,167710059,DEVOCION WILLIAMSBURG,DEVO1,imperial
3795234,167710060,DEVOCION 20TH STREET LLC,DEVO2,imperial
4530952,167710061,DEVOCION LEXINGTON LLC,DEVO5,imperial
5483134,167710062,CAFÉ DEVOCION NOMAD,DEVO6,imperial
5080427,167710063,SUNLIFE ORGANICS 17 LLC,E229167,imperial
5080427,167710064,"SUNLIFE ORGANICS 27, LLC",E230624,imperial
1717521,167710065,"EVELYN HILL, INC",EHI001,imperial
5470861,167710066,FARM TO PEOPLE,FAR052,imperial
1717558,167710067,GARDEN CAFE,GAR027,imperial
3827665,167710068,GOOD NIGHT,GOO027,imperial
1717575,167710069,GOWANUS HOSPITALITY,GOW051,imperial
1912469,167710070,GRAND SK CORP.,GRA058,imperial
1912469,167710071,GRAND SK CORP.,GRA060,imperial
1711255,167710072,GRAND BANKS,GRA160,imperial
1711262,167710073,GREENWICH COUNTRY DAY SCHOOL,GRE002,imperial
1717579,167710074,GREEN & TONIC-GREENWICH,GRE031,imperial
1711278,167710075,HEARTH RESTAURANT,HEA024,imperial
1711287,167710076,HERITAGE GRAND BAKERY,HER031,imperial
1711289,167710077,ISLAND OYSTER,ISL160,imperial
1717639,167710078,JAEGER HAUS,JAEG27,imperial
1717506,167710079,THE EAST HARLEM SCHOOL,JCF025,imperial
5501139,167710080,JEWISH HOME AT ROCKLEIGH,JHR020,imperial
1711297,167710081,JOE & THE JUICE NEW YORK LLC,JOE1000,jtj
1711297,167710082,JOE & THE JUICE NEW YORK LLC,JOE1030,jtj
1711297,167710083,JOE & THE JUICE NEW YORK LLC,JOE1215,jtj
1711297,167710084,JOE & THE JUICE NEW YORK LLC,JOE1451,jtj
1711297,167710085,JOE & THE JUICE NEW YORK LLC,JOE1770,jtj
1711297,167710086,JOE & THE JUICE NEW YORK LLC,JOE1950,jtj
1711297,167710088,JOE & THE JUICE NEW YORK LLC,JOE2000,jtj
1711297,167710089,JOE & THE JUICE NEW YORK LLC,JOE2315,jtj
1711297,167710090,JOE & THE JUICE NEW YORK LLC,JOE2960,jtj
1711297,167710091,JOE & THE JUICE NEW YORK LLC,JOE300,jtj
1711297,167710092,JOE & THE JUICE NEW YORK LLC,JOE4300,jtj
1711297,167710093,JOE & THE JUICE NEW YORK LLC,JOE6501,jtj
1711297,167710094,JOE & THE JUICE NEW YORK LLC,JOE7263,jtj
1711297,167710095,JOE & THE JUICE NEW YORK LLC,JTJ300,jtj
1711297,167710096,JOE & THE JUICE NEW YORK LLC,JTJ549,jtj
1717435,167710097,COOLER CLEANSE,JUI001,imperial
1717435,167710098,COOLER CLEANSE,JUI002,imperial
1711304,167710099,JUICE GENERATION 7 (BROADWAY),JUI007,imperial
1711304,167710100,JUICE GENERATION 5 (3RD AVE),JUI011,imperial
1711304,167710101,JUICE GENERATION 6 (COLUMBUS),JUI018,imperial
1711304,167710102,JUICE GENERATION 9 (23RD ST)JU,JUI027,imperial
1711304,167710103,JUICE GENERATION 8 (42ND ST),JUI033,imperial
1711304,167710104,JUICE GENERATION 10 (WLMSBURG),JUI034,imperial
1711304,167710105,JUICE GENERATION (E18 ST),JUI037,imperial
1711304,167710106,JUICE GENERATION (MAIDEN LN),JUI038,imperial
1711304,167710107,JUICE GENERATION (599 LEX),JUI039,imperial
1711304,167710108,JUICE GENERATION 16 (BLEEKER),JUI044,imperial
1711304,167710109,JUICE GENERATION- TIMES SQUARE,JUI046,imperial
1711304,167710110,JUICE GENERATION (PARK AVE),JUI054,imperial
1711304,167710111,JUICE GENERATION 22 (COURT ST),JUI056,imperial
1711304,167710112,JUICE GENERATION 21,JUI1186,imperial
1711304,167710113,JUICE GENERATION #19 (ASTOR),JUI122,imperial
1711304,167710114,JUICE GENERATION 23,JUI350,imperial
5501146,167710115,LITTLE BEET W50,LB1001,imperial
5501146,167710116,LITTLE BEET 630 OLD COUNTRY,LB1002,imperial
5501146,167710117,LITTLE BEET 320PARK,LB1003,imperial
1717724,167710118,LITTLE BEET 1140 BROADWAY,LB1005,imperial
5501146,167710119,LITTLE BEET 125 WESTCHESTER,LB1009,imperial
5472682,167710120,LITTLE BEET BRYANT PARK,LB1010,imperial
3025168,167710121,LITTLE BEET 125 PARK,LB1011,imperial
5501146,167710122,LITTLE BEET NEWPORT,LB1013,imperial
5501146,167710123,LITTLE BEET 635 POST,LB1019,imperial
5501146,167710124,LITTLE BEET 495 K,LB1022,imperial
5501146,167710125,LITTLE BEET 1291 1ST,LBE1021,imperial
5501146,167710126,LITTLE BEET 333 PARK AVE,LBT1001,imperial
1717717,167710127,LEO'S BAGELS,LEO008,imperial
1711320,167710128,LIGHTHOUSE,LIG031,imperial
1711315,167710129,L'IMPRIMERIE,LIM052,imperial
4470862,167710130,LITTLE EGG,LITE27,imperial
4117996,167710131,LE PAIN QUOTIDIEN COMMISSARY,LPQ100,lpq
4078569,167710132,LEPAIN QUOTIDIEN 1131 MADISON,LPQ114,lpq
3449383,167710133,LEPAIN QUOTIDIEN 1270 FIRST AV,LPQ118,lpq
3449386,167710134,LEPAIN QUOTIDIEN 1309 LEX CARN,LPQ136,lpq
4087495,167710135,LE PAIN QUOTIDIEN 85 BROAD ST,LPQ153,lpq
3447213,167710136,LE PAIN QUOTIDIEN 395 SOUTH EN,LPQ156,lpq
4102069,167710137,LE PAIN QUOTIDIEN 9630 S.SANTA,LPQ201,lpq
4102080,167710139,LE PAIN QUOTIDIEN 175 NORTH IN,LPQ211,lpq
4102085,167710140,LE PAIN QUOTIDIEN 113 N. LARCH,LPQ212,lpq
1715088,167710141,LE PAIN QUOTIDIEN-801 BROADWAY,LPQ216,lpq
4280756,167710142,LEPAIN QUOTIDIEN 4950 FROLICH,LPQ300,lpq
3446264,167710143,LEPAIN QUOTIDIEN 921 BROADWAY,LPQ3002,lpq
3464818,167710144,LEPAIN QUOTIDIEN 1800 BROADWAY,LPQ3003,lpq
3445128,167710145,LEPAIN QUOTIDIEN 1535 3RD AVE,LPQ3004,lpq
3445140,167710146,LEPAIN QUOTIDIEN 2161 BROADWAY,LPQ3005,lpq
3464821,167710147,LEPAIN QUOTIDIEN 1377 6TH AVE,LPQ3007,lpq
3464703,167710148,LEPAIN QUOTIDIEN 400 5TH,LPQ3008,lpq
3464825,167710149,LEPAIN QUOTIDIEN 1400 BROADWAY,LPQ3009,lpq
3445144,167710150,LEPAIN QUOTIDIEN 685 3RD,LPQ3010,lpq
3448837,167710151,LEPAIN QUOTIDIEN 370 LEXINGTON,LPQ3011,lpq
3445177,167710152,LEPAIN QUOTIDEIN 339 7TH,LPQ3013,lpq
4083564,167710153,LE PAIN QUOTIDIEN 800 17TH,LPQ308,lpq
3424763,167710155,LE PAIN QUOTIDIEN 975 F STREET,LPQ309,lpq
4364552,167710156,LE PAIN QUOTIDIEN 3425 MAIN HW,LPQ351,lpq
3447102,167710157,LE PAIN QUOTIDIEN 382 GREENWIC,LPQ403,lpq
3514360,167710158,LE PAIN QUOTIDIEN-1425 WALNUT,LPQ501,lpq
3514361,167710159,LE PAIN QUOTIDIEN 801 WALNUT,LPQ502,lpq
1711334,167710160,MARLOW & DAUGHTERS,MAR132,imperial
1711339,167710161,MERMAID'S GARDEN INC.,MER644,imperial
1717760,167710162,MIMI CHENG'S DUMPLINGS,MIM098,imperial
2191253,167710163,MOLLIE STONE'S CORP OFFICE,MO00026,imperial
1711351,167710164,MOLSBERRY MARKET,MO00031,imperial
1717848,167710165,PAYLESS MARKET PIONEER,MO00039,imperial
3516398,167710166,"SCOTTY'S MARKET, INC.",MO00047,imperial
1715091,167710167,MOLLIE STONE'S CORP OFFICE,MO00076,imperial
1717513,167710168,NUGGET MARKET -ELK GROVE [008],MO00183,imperial
1717811,167710169,NUGGET MARKET CORPORATE OFFICE,MO00194,imperial
1717913,167710170,SPD MARKET NEVADA CITY,MO00205,imperial
5503773,167710171,PACIFIC MARKET,MO00207,imperial
2572565,167710172,FANTASTIC JUICES,MO00210,imperial
1717813,167710173,NUGGET MARKET - TIBURON [014],MO00232,imperial
1717814,167710174,NUGGET MARKET - SONOMA [017],MO00247,imperial
1711217,167710175,DRIVER'S MARKET,MO00249,imperial
5333160,167710176,FIRCREST MARKET,MO00378,imperial
5425539,167710177,SAM'S GENERAL STORE - ST. HELE,MO00387,imperial
1717837,167710178,MAR-VAL FOOD STORES PACIFIC MA,MO90035,imperial
1717837,167710179,MAR-VAL FOOD STORES PACIFIC MA,MO90036,imperial
1711130,167710180,MODERN LOVE BROOKLYN,MOD031,imperial
1717786,167710181,MOSS CAFE,MOS041,imperial
2373200,167710182,NITEHAWK PROSPECT PARK,NITEPPW,imperial
4415335,167710183,O'L DAYS,OLD098,imperial
5501157,167710184,ONE GIRL COOKIES DUMBO,ONE002,imperial
1711399,167710185,PISTACHE NYC INC,PIS031,imperial
2191249,167710186,BUN MEE-FILLMORE,PP11653,imperial
1717236,167710187,AMDA CAFE,PP13194,imperial
4532014,167710188,AMY'S DRIVE THRU-ROHNERT PARK,PP25332,imperial
3465483,167710189,PLANT POWER,PP26357,imperial
4532014,167710192,AMY'S DRIVE THRU-ROHNERT PARK,PP26375,imperial
4532014,167710193,AMY'S DRIVE THRU-ROHNERT PARK,PP27585,imperial
1711254,167710194,GRACIAS MADRE-W HOLLYWOOD,PP28190,imperial
3514745,167710195,PLANT POWER-UCSD-DARK DROP,PP29141,imperial
4744966,167710196,CREAM PAN-FOUNTAIN VALLEY,PP29379,imperial
4152010,167710197,BACON BACON-SFO INT'L AIRPORT,PP29410,imperial
1711510,167710198,**WESTERN PAPER DISTRIBUTORS-I,PP29727,imperial
5080427,167710199,SUNLIFE ORGANICS 1 - POINT DUM,PP30835,imperial
5080427,167710200,SUNLIFE ORGANICS 2-THOUSAND OA,PP30837,imperial
5080427,167710201,SUNLIFE ORGANICS 4-CROSS CREEK,PP30840,imperial
5080427,167710202,SUNLIFE ORGANICS 7-CENTURY CIT,PP30841,imperial
5080427,167710203,SUNLIFE ORGANICS 8-LARKSPUR+,PP30842,imperial
5080427,167710204,SUNLIFE ORGANICS 13-W HOLLYWOO,PP30843,imperial
5080427,167710205,SUNLIFE ORGANICS 15-MANHATTAN,PP30844,imperial
1717933,167710206,SUNLIFE ORGANICS-USC VILLAGE+,PP31038,imperial
5080427,167710207,SUNLIFE ORGANICS 3 - CALABASAS,PP90141,imperial
5080427,167710208,SUNLIFE ORGANICS 23 - DEL MAR,PP90309,imperial
5080427,167710209,SUNLIFE ORGANICS 19 - LOS ANGE,PP90372,imperial
3976929,167710210,PLANT POWER - REDLANDS,PP90387,imperial
4535233,167710211,HOLEY GRAIL DONUTS-LB,PP90447,imperial
5253236,167710212,RECREATION CAFÉ,PP90476,imperial
5080427,167710213,SUNLIFE ORGANICS 22 - NASHVILL,PP90503,imperial
2191249,167710214,BUN MEE- STEINER,PP90831,imperial
5472731,167710215,REUNION & COMPANY,PP90935,imperial
5080427,167710216,SUNLIFE ORGANICS 21 - NASHVILL,PP91094,imperial
5080427,167710217,SUNLIFE ORGANICS 25 - NEW YORK,PP91200,imperial
3465483,167710218,PLANT POWER - SACRAMENTO NEW,PP91207,imperial
5080427,167710219,SUNLIFE ORGANICS 26 - BOULDER,PP91349,imperial
2521699,167710220,LOFTY COFFEE CO.,PR02961,imperial
2521699,167710221,LOFTY COFFEE CO.,PR02962,imperial
2521699,167710222,LOFTY COFFEE CO.,PR02963,imperial
2521699,167710223,LOFTY COFFEE CO.,PR02965,imperial
2521699,167710224,LOFTY COFFEE CO.,PR02966,imperial
1711325,167710225,WE OLIVE LOS GATOS,PR04224,imperial
5080427,167710226,SUNLIFE ORGANICS,PR09726,imperial
1711405,167710227,PS KITCHEN,PSK032,imperial
1711287,167710228,SAHADI'S,SAH052,imperial
2405632,167710229,SAN PEDRO,SAN31,imperial
5080427,167710230,SUNLIFE ORGANICS,SUN3001,imperial
2390494,167710231,MORENOS MEXICAN FOOD,T100537,imperial
1717803,167710234,NEWPORT BEACH TENNIS CLUB,T101022,imperial
4849647,167710235,HIGHLY LIKELY HIGHLAND PARK,T103100,imperial
4535410,167710237,HOLEY GRAIL DONUTS-SANTA MONIC,T103428,imperial
4535410,167710238,HOLEY GRAIL DONUTS-SANTA MONIC,T103429,imperial
4535233,167710239,HOLEY GRAIL DONUTS-LA-PICO,T103430,imperial
1717709,167710240,LARES,T104133,imperial
1717542,167710241,FIREHOUSE (THE),T104260,imperial
1711125,167710242,ACTIVE CULTURE - LAGUNA BEACH,T104546,imperial
1717894,167710243,SANTA BARBARA ROASTING,T104697,imperial
