mobi_customer_id,filled_form_id,customer_label,location_code,chain
5293461,167854961,ALFALFA JERSEY CITY,ALF160,imperial
1717241,167854962,AMY RUTH'S,AMY004,imperial
1711135,167854963,ARROW PAPER CO.,ARR001,imperial
4289655,167858811,BONDI SUSHI,BONNBRO,imperial
5551055,167858814,BONDI SUSHI,BONNY5,imperial
3563727,167858818,BONDI SUSHI,BONNY7,imperial
4479853,167858821,BONDI SUSHI-156 N 4TH ST,BONNYBK,imperial
1912459,167858822,BROOKLYN ROASTING COMPANY,BRC098,imperial
1717328,167858825,BROOKLYN ROASTING WORKS LLC,BRO097,imperial
1717291,167858827,BKLYN LARDER LLC.,BRO110,imperial
3259803,167858828,CHA CHA MATCHA-DUMBO,CHA163,imperial
1717425,167858829,COCOA BAKERY,COC001,imperial
1717440,167858830,CRAVE FISH BAR,CRA003,imperial
1717444,167858831,CUB MARKET,CUB027,imperial
3827673,167858832,DEVOCION WILLIAMSBURG,DEVO1,imperial
3795234,167858833,DEVOCION 20TH STREET LLC,DEVO2,imperial
4530952,167858835,DEVOCION LEXINGTON LLC,DEVO5,imperial
5483134,167858837,CAFÉ DEVOCION NOMAD,DEVO6,imperial
1717521,167858839,"EVELYN HILL, INC",EHI001,imperial
5470861,167858841,FARM TO PEOPLE,FAR052,imperial
1717558,167858843,GARDEN CAFE,GAR027,imperial
3827665,167858846,GOOD NIGHT,GOO027,imperial
1717575,167858848,GOWANUS HOSPITALITY,GOW051,imperial
1711255,167858849,GRAND BANKS,GRA160,imperial
1711262,167858850,GREENWICH COUNTRY DAY SCHOOL,GRE002,imperial
1717579,167858852,GREEN & TONIC-GREENWICH,GRE031,imperial
1711278,167858853,HEARTH RESTAURANT,HEA024,imperial
4192877,167858854,HERITAGE GRAND BAKERY,HER031,imperial
1711289,167858856,ISLAND OYSTER,ISL160,imperial
1717639,167858857,JAEGER HAUS,JAEG27,imperial
1717506,167858858,THE EAST HARLEM SCHOOL,JCF025,imperial
5501139,167858859,JEWISH HOME AT ROCKLEIGH,JHR020,imperial
4886303,167858861,JOE & THE JUICE NEW YORK LLC,JOE4300,jtj
4516521,167858862,JOE & THE JUICE NEW YORK LLC,JOE7263,jtj
4469389,167858865,JOE & THE JUICE NEW YORK LLC,JTJ549,jtj
1717651,167858866,JUICE GENERATION 6 (COLUMBUS),JUI018,imperial
2470694,167858867,LITTLE BEET W50,LB1001,imperial
2470660,167858868,LITTLE BEET 630 OLD COUNTRY,LB1002,imperial
5434170,167858869,LITTLE BEET 320PARK,LB1003,imperial
1717724,167858870,LITTLE BEET 1140 BROADWAY,LB1005,imperial
2428877,167858871,LITTLE BEET 125 WESTCHESTER,LB1009,imperial
5472682,167858872,LITTLE BEET BRYANT PARK,LB1010,imperial
3025168,167858873,LITTLE BEET 125 PARK,LB1011,imperial
1912478,167858874,LITTLE BEET NEWPORT,LB1013,imperial
3453745,167858876,LITTLE BEET 635 POST,LB1019,imperial
3241719,167858880,LITTLE BEET 495 K,LB1022,imperial
3168219,167858881,LITTLE BEET 1291 1ST,LBE1021,imperial
4120605,167858883,LITTLE BEET 333 PARK AVE,LBT1001,imperial
1717717,167858885,LEO'S BAGELS,LEO008,imperial
1711320,167858886,LIGHTHOUSE,LIG031,imperial
1711315,167858974,L'IMPRIMERIE,LIM052,imperial
4470862,167858976,LITTLE EGG,LITE27,imperial
4117996,167858977,LE PAIN QUOTIDIEN COMMISSARY,LPQ100,lpq
4078569,167858979,LEPAIN QUOTIDIEN 1131 MADISON,LPQ114,lpq
3449383,167858980,LEPAIN QUOTIDIEN 1270 FIRST AV,LPQ118,lpq
3449386,167858982,LEPAIN QUOTIDIEN 1309 LEX CARN,LPQ136,lpq
4087495,167858983,LE PAIN QUOTIDIEN 85 BROAD ST,LPQ153,lpq
3447213,167858984,LE PAIN QUOTIDIEN 395 SOUTH EN,LPQ156,lpq
4102069,167858987,LE PAIN QUOTIDIEN 9630 S.SANTA,LPQ201,lpq
4102080,167858988,LE PAIN QUOTIDIEN 175 NORTH IN,LPQ211,lpq
4102085,167858989,LE PAIN QUOTIDIEN 113 N. LARCH,LPQ212,lpq
1715088,167858990,LE PAIN QUOTIDIEN-801 BROADWAY,LPQ216,lpq
4280756,167858991,LEPAIN QUOTIDIEN 4950 FROLICH,LPQ300,lpq
3446264,167858992,LEPAIN QUOTIDIEN 921 BROADWAY,LPQ3002,lpq
3464818,167858993,LEPAIN QUOTIDIEN 1800 BROADWAY,LPQ3003,lpq
3445128,167858994,LEPAIN QUOTIDIEN 1535 3RD AVE,LPQ3004,lpq
3445140,167858998,LEPAIN QUOTIDIEN 2161 BROADWAY,LPQ3005,lpq
3464821,167858999,LEPAIN QUOTIDIEN 1377 6TH AVE,LPQ3007,lpq
3464703,167859000,LEPAIN QUOTIDIEN 400 5TH,LPQ3008,lpq
3464825,167859001,LEPAIN QUOTIDIEN 1400 BROADWAY,LPQ3009,lpq
3445144,167859009,LEPAIN QUOTIDIEN 685 3RD,LPQ3010,lpq
3448837,167859015,LEPAIN QUOTIDIEN 370 LEXINGTON,LPQ3011,lpq
3445177,167859018,LEPAIN QUOTIDEIN 339 7TH,LPQ3013,lpq
4083564,167859024,LE PAIN QUOTIDIEN 800 17TH,LPQ308,lpq
3424763,167859025,LE PAIN QUOTIDIEN 975 F STREET,LPQ309,lpq
4364552,167859027,LE PAIN QUOTIDIEN 3425 MAIN HW,LPQ351,lpq
3447102,167859029,LE PAIN QUOTIDIEN 382 GREENWIC,LPQ403,lpq
3514360,167859031,LE PAIN QUOTIDIEN-1425 WALNUT,LPQ501,lpq
3514361,167859032,LE PAIN QUOTIDIEN 801 WALNUT,LPQ502,lpq
1711334,167859034,MARLOW & DAUGHTERS,MAR132,imperial
1711339,167859036,MERMAID'S GARDEN INC.,MER644,imperial
1717760,167859037,MIMI CHENG'S DUMPLINGS,MIM098,imperial
2191253,167859038,MOLLIE STONE'S CORP OFFICE,MO00026,imperial
1711351,167859040,MOLSBERRY MARKET,MO00031,imperial
1717848,167859043,PAYLESS MARKET PIONEER,MO00039,imperial
3516398,167859046,"SCOTTY'S MARKET, INC.",MO00047,imperial
1715091,167859047,MOLLIE STONE'S CORP OFFICE,MO00076,imperial
1717513,167859049,NUGGET MARKET -ELK GROVE [008],MO00183,imperial
1717811,167859053,NUGGET MARKET CORPORATE OFFICE,MO00194,imperial
1717913,167859054,SPD MARKET NEVADA CITY,MO00205,imperial
5503773,167859055,PACIFIC MARKET,MO00207,imperial
2572565,167859056,FANTASTIC JUICES,MO00210,imperial
1717813,167859058,NUGGET MARKET - TIBURON [014],MO00232,imperial
1717814,167854710,NUGGET MARKET - SONOMA [017],MO00247,imperial
1711217,167859065,DRIVER'S MARKET,MO00249,imperial
5333160,167859067,FIRCREST MARKET,MO00378,imperial
5425539,167859068,SAM'S GENERAL STORE - ST. HELE,MO00387,imperial
1711130,167859072,MODERN LOVE BROOKLYN,MOD031,imperial
1717786,167859073,MOSS CAFE,MOS041,imperial
2373200,167859075,NITEHAWK PROSPECT PARK,NITEPPW,imperial
4415335,167859077,O'L DAYS,OLD098,imperial
5501157,167859078,ONE GIRL COOKIES DUMBO,ONE002,imperial
1711399,167859080,PISTACHE NYC INC,PIS031,imperial
2391223,167859082,BUN MEE-FILLMORE,PP11653,imperial
1717236,167859083,AMDA CAFE,PP13194,imperial
3449631,167859086,PLANT POWER,PP26357,imperial
1711254,167859087,GRACIAS MADRE-W HOLLYWOOD,PP28190,imperial
3514745,167859088,PLANT POWER-UCSD-DARK DROP,PP29141,imperial
4744966,167859089,CREAM PAN-FOUNTAIN VALLEY,PP29379,imperial
4152010,167859090,BACON BACON-SFO INT'L AIRPORT,PP29410,imperial
1711510,167859092,**WESTERN PAPER DISTRIBUTORS-I,PP29727,imperial
1717931,167859094,SUNLIFE ORGANICS 1 - POINT DUM,PP30835,imperial
1717930,167859095,SUNLIFE ORGANICS 2-THOUSAND OA,PP30837,imperial
1717927,167859101,SUNLIFE ORGANICS 4-CROSS CREEK,PP30840,imperial
1717932,167859102,SUNLIFE ORGANICS 7-CENTURY CIT,PP30841,imperial
2569582,167859104,SUNLIFE ORGANICS 8-LARKSPUR+,PP30842,imperial
2309024,167859108,SUNLIFE ORGANICS 13-W HOLLYWOO,PP30843,imperial
3451596,167859113,SUNLIFE ORGANICS 15-MANHATTAN,PP30844,imperial
1717933,167859120,SUNLIFE ORGANICS-USC VILLAGE+,PP31038,imperial
1717926,167859122,SUNLIFE ORGANICS 3 - CALABASAS,PP90141,imperial
5353874,167859123,SUNLIFE ORGANICS 23 - DEL MAR,PP90309,imperial
3976929,167859126,PLANT POWER - REDLANDS,PP90387,imperial
5382233,167859129,HOLEY GRAIL DONUTS-LB,PP90447,imperial
5253236,167859130,RECREATION CAFÉ,PP90476,imperial
5304243,167859134,SUNLIFE ORGANICS 22 - NASHVILL,PP90503,imperial
2191249,167859139,BUN MEE- STEINER,PP90831,imperial
5472731,167859141,REUNION & COMPANY,PP90935,imperial
5471411,167859142,SUNLIFE ORGANICS 21 - NASHVILL,PP91094,imperial
5471410,167859143,SUNLIFE ORGANICS 25 - NEW YORK,PP91200,imperial
3465483,167859144,PLANT POWER - SACRAMENTO NEW,PP91207,imperial
5579020,167859147,SUNLIFE ORGANICS 26 - BOULDER,PP91349,imperial
1711325,167859149,WE OLIVE LOS GATOS,PR04224,imperial
4172343,167859150,SUNLIFE ORGANICS,PR09726,imperial
1711405,167859152,PS KITCHEN,PSK032,imperial
2202096,167859154,SAHADI'S,SAH052,imperial
2405632,167859156,SAN PEDRO,SAN31,imperial
2390494,167859160,MORENOS MEXICAN FOOD,T100537,imperial
1717803,167859162,NEWPORT BEACH TENNIS CLUB,T101022,imperial
4849647,167859165,HIGHLY LIKELY HIGHLAND PARK,T103100,imperial
1717709,167859167,LARES,T104133,imperial
1717542,167859185,FIREHOUSE (THE),T104260,imperial
1711125,167859187,ACTIVE CULTURE - LAGUNA BEACH,T104546,imperial
1717894,167859189,SANTA BARBARA ROASTING,T104697,imperial
1717844,167859190,PARADISE BAKERY & CAFE,T106277,imperial
1717230,167859192,ACTIVE CULTURE - SAN CLEMENTE,T106379,imperial
5501104,167859193,AMERICAN JUNKIE - HERMOSA,T106783,imperial
2394323,167859195,DUNE LOS ANGELES,T107057,imperial
5259366,167859196,TOPANGA LIVING CAFE,T107790,imperial
2394450,167859200,DUNE DOWNTOWN,T107836,imperial
1711132,167859201,AMERICAN JUNKIE - SAN DIEGO,T107881,imperial
5350735,167859203,ELF CAFE,T108034,imperial
1711281,167859204,HIGHLY LIKELY CAFE(WEST ADAMS),T108334,imperial
2385797,167859205,SECTIONS FINE MEATS,T109115,imperial
4951390,167859208,ENDLESS COLOR TOPANGA,T109675,imperial
4850740,167859211,ALFALFA LARCHMONT LLC,T109737,imperial
5140452,167859212,SINIZKI,T900863,imperial
1717434,167859213,THE BEAR CANTINA INC,TBC027,imperial
4273784,167859214,THIS BOWL NEW YORK,TBNY65,imperial
1711455,167859219,TERROIR TRIBECA,TER041,imperial
2455335,167859221,TACOVISION-TURTLEBAY,TUC023,imperial
4100972,167859225,UNION MARKET BEDFORD,UMB045,imperial
1718094,167859227,UNION MARKET,UNI004,imperial
1718095,167859228,UNION MARKET,UNI045,imperial
1715105,167859231,UNION MARKET,UNI058,imperial
1718092,167859232,UNION MARKET,UNI066,imperial
1718093,167859233,UNION MARKET COURT ST,UNI078,imperial
1718112,167859234,WASABI SUSHI BENTO,WAS014,imperial
1718111,167859235,WASABI SUSHI & BENTO LLC,WAS561,imperial
1711287,167859236,WYTHE HOTEL,WYT001,imperial
